pole_id,dt_id,true_seq_on_line,true_parent_pole_id
P-62c26e,D-010302,35,P-0a7e8b
P-11b521,D-010302,36,P-62c26e
P-10e478,D-010302,37,P-11b521
P-2fa4c0,D-010302,38,P-10e478
P-4fa3c7,D-010302,39,P-ed2de3
P-ad98a4,D-010302,40,P-4fa3c7
P-53555b,D-010302,41,P-ad98a4
P-252ad2,D-010302,42,P-53555b
P-386dbd,D-010302,43,P-252ad2
P-578df9,D-010302,44,P-386dbd
P-528af5,D-010302,45,P-578df9
P-d6b226,D-010302,46,P-528af5
P-a4b3ae,D-010302,47,P-d6b226
P-effce7,D-010302,48,P-a4b3ae
P-bb61ca,D-010302,49,P-effce7
P-640f0f,D-010302,50,P-bb61ca
P-6623e4,D-010302,51,P-640f0f
P-7b582b,D-010302,52,P-6623e4
P-61ffff,D-010302,53,P-7b582b
P-ff0d1e,D-010302,54,P-61ffff
P-270a97,D-010302,55,P-ff0d1e
P-cb9588,D-010302,56,P-270a97
P-3ac285,D-010302,57,P-cb9588
P-cddb3f,D-010302,58,P-3ac285
P-898451,D-010302,59,P-cddb3f
P-ef190d,D-010302,60,P-898451
P-4f350f,D-010302,61,P-ef190d
P-32d935,D-010302,62,P-4f350f
P-650243,D-010302,63,P-32d935
P-81d15a,D-010302,64,P-650243
P-941407,D-010302,65,P-81d15a
P-900ce8,D-010302,66,P-941407
P-920fee,D-010302,67,P-900ce8
P-3282e5,D-010302,68,P-920fee
P-1fbd09,D-010302,69,P-3282e5
P-69d39d,D-010303,1,
P-3760db,D-010303,2,P-69d39d
P-88015c,D-010303,3,P-3760db
P-80f755,D-010303,4,P-88015c
P-2089c9,D-010303,5,P-80f755
P-14ac08,D-010303,6,P-2089c9
P-112a31,D-010303,7,P-14ac08
P-6065d5,D-010303,8,P-112a31
P-b432f5,D-010303,9,P-80f755
P-65e910,D-010303,10,P-b432f5
P-c4f083,D-010303,11,P-65e910
P-95db1b,D-010303,12,P-c4f083
P-bc24fa,D-010303,13,P-65e910
P-5eb38e,D-010303,14,P-bc24fa
P-c91c0e,D-010303,15,P-5eb38e
P-0b709c,D-010303,16,P-c91c0e
P-c8466f,D-010303,17,P-0b709c
P-3e1020,D-010303,18,P-c8466f
P-2cb3bc,D-010303,19,P-3e1020
P-acace2,D-020102,1,
P-e6e92b,D-020102,2,P-acace2
P-28c4d6,D-020102,3,P-e6e92b
P-d62b0e,D-020102,4,P-28c4d6
P-b3fc22,D-020102,5,P-d62b0e
P-09a587,D-020102,6,P-b3fc22
P-81ffa9,D-020102,7,P-09a587
P-2b08fd,D-020102,8,P-81ffa9
P-ba1b02,D-020102,9,P-2b08fd
P-1cce64,D-020102,10,P-ba1b02
P-b44492,D-020102,11,P-1cce64
P-405aa2,D-020102,12,P-b44492
P-4632e4,D-020102,13,P-405aa2
P-0b0aee,D-020102,14,P-4632e4
P-3f430c,D-020102,15,P-0b0aee
P-09bd32,D-020102,16,P-3f430c
P-cd93a0,D-020102,17,P-4632e4
P-c1ebf5,D-020103,1,
P-f4ed0f,D-020103,2,P-c1ebf5
P-9f8a57,D-020103,3,P-f4ed0f
P-56e7e9,D-020103,4,P-9f8a57
P-814564,D-020103,5,P-56e7e9
P-c335f4,D-020103,6,P-814564
P-244ec6,D-020103,7,P-c335f4
P-2196fb,D-020103,8,P-244ec6
P-baac26,D-020103,9,P-2196fb
P-ea3cc3,D-020103,10,P-baac26
P-397f0f,D-020103,11,P-ea3cc3
P-b4835f,D-020103,12,P-397f0f
P-09bdf9,D-020103,13,P-ea3cc3
P-09d538,D-020103,14,P-09bdf9
P-aa5af5,D-020103,15,P-09d538
P-abf3a6,D-020103,16,P-aa5af5
P-17f086,D-020201,1,
P-7b7cc5,D-020201,2,P-17f086
P-03b462,D-020201,3,P-7b7cc5
P-a3caff,D-020201,4,P-03b462
P-d0aa43,D-020201,5,P-a3caff
P-544855,D-020201,6,P-d0aa43
P-490283,D-020201,7,P-03b462
P-a16bb4,D-020201,8,P-490283
P-46b2a6,D-020201,9,P-a16bb4
P-f9970d,D-020201,10,P-46b2a6
P-1110aa,D-020201,11,P-f9970d
P-bb0997,D-020201,12,P-1110aa
P-376d36,D-020201,13,P-bb0997
P-462087,D-020201,14,P-376d36
P-15fd1b,D-020201,15,P-462087
P-352ef2,D-020201,16,P-15fd1b
P-1ab66b,D-020201,17,P-1110aa
P-64fc76,D-020201,18,P-1ab66b
P-54f1c6,D-020201,19,P-64fc76
P-be20d5,D-020201,20,P-54f1c6
P-11fedb,D-020201,21,P-be20d5
P-c49fa9,D-020201,22,P-11fedb
P-8849be,D-020201,23,P-c49fa9
P-e91bb4,D-020201,24,P-8849be
P-c47f7a,D-020201,25,P-e91bb4
P-d94020,D-020201,26,P-c47f7a
P-a1bb79,D-020201,27,P-d94020
P-3c646b,D-020201,28,P-a1bb79
P-a05811,D-020201,29,P-3c646b
P-a93369,D-020201,30,P-a05811
P-5f7510,D-020201,31,P-c47f7a
P-72fc9e,D-020201,32,P-5f7510
P-88bcdb,D-020201,33,P-72fc9e
P-48a728,D-020201,34,P-88bcdb
P-0f534d,D-020201,35,P-48a728
P-611e73,D-020201,36,P-0f534d
P-3edad7,D-020201,37,P-611e73
P-3f62d0,D-020201,38,P-3edad7
P-c81e94,D-020201,39,P-3f62d0
P-e4f95f,D-020201,40,P-3edad7
P-a33b65,D-020201,41,P-e4f95f
P-a3b618,D-020201,42,P-a33b65
P-3a512a,D-020201,43,P-a3b618
P-416da5,D-020202,1,
P-26a196,D-020202,2,P-416da5
P-805db7,D-020202,3,P-26a196
P-48fa79,D-020202,4,P-805db7
P-0af2b4,D-020202,5,P-48fa79
P-80ba35,D-020202,6,P-0af2b4
P-25199a,D-020202,7,P-80ba35
P-e078e9,D-020202,8,P-25199a
P-4d3ac0,D-020202,9,P-e078e9
P-2864cc,D-020202,10,P-4d3ac0
P-93c4c9,D-020202,11,P-2864cc
P-6e8108,D-020202,12,P-93c4c9
P-24d71b,D-020202,13,P-6e8108
P-8efd55,D-020202,14,P-24d71b
P-022e09,D-020202,15,P-8efd55
P-7e4d69,D-020202,16,P-022e09
P-812f9e,D-020202,17,P-7e4d69
P-562b90,D-020202,18,P-812f9e
P-ef0126,D-020202,19,P-562b90
P-e2879b,D-020202,20,P-ef0126
P-8cc997,D-020202,21,P-e2879b
P-6e7e04,D-020202,22,P-8cc997
P-37dc01,D-020202,23,P-6e7e04
P-972ef6,D-020202,24,P-37dc01
P-4a6011,D-020202,25,P-972ef6
P-680cd2,D-020202,26,P-ef0126
P-dda760,D-020202,27,P-680cd2
P-a3d9d2,D-020202,28,P-dda760
P-610f1b,D-020202,29,P-a3d9d2
P-499454,D-020202,30,P-610f1b
P-ca0740,D-020202,31,P-499454
P-8b5529,D-020202,32,P-ca0740
P-02495d,D-020202,33,P-8b5529
P-85ad02,D-020202,34,P-02495d
P-ebb037,D-020202,35,P-a3d9d2
P-379b5f,D-020202,36,P-ebb037
P-c6182a,D-020202,37,P-379b5f
P-2d1777,D-020202,38,P-ebb037
P-167a6f,D-020202,39,P-2d1777
P-f11785,D-020202,40,P-167a6f
P-807783,D-020202,41,P-f11785
P-e4d5ec,D-020202,42,P-807783
P-bc5781,D-020202,43,P-e4d5ec
P-d80061,D-020202,44,P-bc5781
P-c0dc4d,D-020202,45,P-d80061
P-822aac,D-020203,1,
P-202b4a,D-020203,2,P-822aac
P-6e507f,D-020203,3,P-202b4a
P-20e64b,D-020203,4,P-6e507f
P-873e10,D-020203,5,P-20e64b
P-abea1d,D-020203,6,P-873e10
P-7a450a,D-020203,7,P-abea1d
P-6bfdae,D-020203,8,P-7a450a
P-b8973d,D-020203,9,P-20e64b
P-26990c,D-020203,10,P-b8973d
P-47661b,D-020203,11,P-26990c
P-7708f0,D-020203,12,P-47661b
P-8d8dbd,D-020203,13,P-7708f0
P-a9f9c6,D-020203,14,P-8d8dbd
P-f18f04,D-020203,15,P-b8973d
P-a60058,D-020203,16,P-f18f04
P-a010e6,D-020203,17,P-a60058
P-894ede,D-020203,18,P-a010e6
P-874b2e,D-020203,19,P-894ede
P-7f2ebf,D-020203,20,P-874b2e
P-2d9fd4,D-020203,21,P-7f2ebf
P-5f3a02,D-020203,22,P-894ede
P-66eeae,D-020203,23,P-5f3a02
P-00cf2c,D-020203,24,P-66eeae
P-d46e88,D-020203,25,P-5f3a02
P-754599,D-020203,26,P-d46e88
P-ba031c,D-020203,27,P-754599
P-9dbf79,D-020203,28,P-ba031c
P-d9db86,D-020203,29,P-9dbf79
P-aed0f6,D-020203,30,P-d9db86
P-733b3c,D-020203,31,P-d46e88
P-513687,D-020203,32,P-733b3c
P-e2f32f,D-020203,33,P-513687
P-34670c,D-020203,34,P-e2f32f
P-e58c4c,D-020203,35,P-34670c
P-74b975,D-020203,36,P-e58c4c
P-69e69b,D-020203,37,P-74b975
P-d354f9,D-020203,38,P-69e69b
P-13ac6c,D-020203,39,P-d354f9
P-cb3757,D-020203,40,P-13ac6c
P-a60a25,D-020203,41,P-cb3757
P-b654eb,D-020203,42,P-a60a25
P-f62f92,D-020203,43,P-b654eb
P-30ef4d,D-020203,44,P-f62f92
P-b7aa5f,D-020203,45,P-30ef4d
P-83fb8a,D-020203,46,P-b7aa5f
P-f380a3,D-020203,47,P-83fb8a
P-c5f204,D-020203,48,P-f380a3
P-4f6621,D-020203,49,P-c5f204
P-169c27,D-020203,50,P-4f6621
P-b4ad35,D-020203,51,P-169c27
P-7eb504,D-020203,52,P-b4ad35
P-df3b7c,D-020203,53,P-7eb504
P-05c112,D-020203,54,P-df3b7c
P-525e3b,D-020203,55,P-05c112
P-1e1197,D-020203,56,P-525e3b
P-9b0ee1,D-020203,57,P-1e1197
P-6ae529,D-020203,58,P-9b0ee1
P-638795,D-020203,59,P-6ae529
P-0b660c,D-020203,60,P-638795
P-454508,D-020203,61,P-0b660c
P-acbe5a,D-020203,62,P-454508
P-cab692,D-020203,63,P-acbe5a
P-459f9d,D-020203,64,P-cab692
P-655d41,D-020203,65,P-459f9d
P-bdd434,D-020203,66,P-655d41
P-c18ac1,D-020203,67,P-bdd434
P-86157e,D-020203,68,P-c18ac1
P-6a834f,D-020203,69,P-86157e
P-071f12,D-020203,70,P-6a834f
P-770e45,D-020203,71,P-071f12
P-96410e,D-020302,1,
P-d7d5c3,D-020302,2,P-96410e
P-c7b7b4,D-020302,3,P-d7d5c3
P-4d49a5,D-020302,4,P-c7b7b4
P-5113ff,D-020302,5,P-4d49a5
P-73013d,D-020302,6,P-d7d5c3
P-72617a,D-020302,7,P-73013d
P-5169f3,D-020302,8,P-72617a
P-bf6747,D-020302,9,P-5169f3
P-cbda3e,D-020302,10,P-bf6747
P-3f9198,D-020302,11,P-cbda3e
P-4441d2,D-020302,12,P-3f9198
P-6f4191,D-020302,13,P-4441d2
P-6a5064,D-020302,14,P-6f4191
P-9614cd,D-020302,15,P-6a5064
P-d757d2,D-020302,16,P-9614cd
P-60dca5,D-020302,17,P-d757d2
P-e4fa50,D-020302,18,P-60dca5
P-3aa818,D-020302,19,P-e4fa50
P-f80a26,D-020302,20,P-3aa818
P-ff071a,D-020302,21,P-f80a26
P-d1e25a,D-020302,22,P-ff071a
P-6ca2df,D-020302,23,P-d1e25a
P-8551fd,D-020302,24,P-6ca2df
P-a156d7,D-020302,25,P-8551fd
P-1e4a78,D-020302,26,P-a156d7
P-b382d0,D-020302,27,P-1e4a78
P-dde98c,D-020302,28,P-b382d0
P-f61b63,D-020302,29,P-d1e25a
P-7b82c0,D-020302,30,P-f61b63
P-217939,D-020302,31,P-7b82c0
P-6ad5d5,D-020302,32,P-217939
P-d9d680,D-020302,33,P-6ad5d5
P-3fdf34,D-020302,34,P-d9d680
P-49d673,D-020302,35,P-3fdf34
P-1c1c69,D-020302,36,P-49d673
P-e52886,D-020302,37,P-217939
P-649f22,D-020302,38,P-e52886
P-f34102,D-020302,39,P-649f22
P-ea9197,D-020302,40,P-f34102
P-958a88,D-020302,41,P-ea9197
P-450514,D-020302,42,P-958a88
P-fb5d82,D-020302,43,P-450514
P-1c8045,D-020302,44,P-fb5d82
P-bf25d2,D-020302,45,P-1c8045
P-5af91f,D-020302,46,P-bf25d2
P-2b294d,D-020302,47,P-450514
P-c66365,D-020302,48,P-2b294d
P-9ced76,D-020302,49,P-c66365
P-9b4d74,D-020302,50,P-9ced76
P-91d544,D-020302,51,P-9b4d74
P-ef5d67,D-020302,52,P-91d544
P-ac9d91,D-020302,53,P-ef5d67
P-117dca,D-020302,54,P-ac9d91
P-4176a8,D-020302,55,P-ef5d67
P-e8b262,D-020302,56,P-4176a8
P-ffd3af,D-020302,57,P-e8b262
