pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
P-1fb2c4,12.976644,77.610515,F-01-01,D-010103,11,P-ccc912,LT-8m-Steel,W-086,560077,
P-6bafd4,12.976479,77.610573,F-01-01,D-010103,12,P-1fb2c4,LT-9m-Steel,W-041,560088,KSPDB-D-010103-P-6bafd4
P-7fc7e1,12.97631,77.610641,F-01-01,D-010103,13,P-6bafd4,LT-8m-Steel,W-076,560055,KSPDB-D-010103-P-7fc7e1
P-aa677f,12.976178,77.610677,F-01-01,D-010103,14,P-7fc7e1,LT-8m-Steel,W-080,560096,KSPDB-D-010103-P-aa677f
P-f5b346,12.976023,77.610715,F-01-01,D-010103,15,P-aa677f,LT-9m-Steel,W-103,560088,KSPDB-D-010103-P-f5b346
P-0c1bdb,12.975834,77.610799,F-01-01,D-010103,16,P-f5b346,LT-9m-Steel,W-011,560050,KSPDB-D-010103-P-0c1bdb
P-1ddf3a,12.978912,77.604408,F-01-02,D-010201,1,,LT-9m-PCC,W-031,560033,KSPDB-D-010201-P-1ddf3a
P-57e28f,12.9786,77.604172,F-01-02,D-010201,2,P-1ddf3a,LT-8m-Steel,W-089,560059,KSPDB-D-010201-P-57e28f
P-c18501,12.978323,77.603982,F-01-02,D-010201,3,P-57e28f,LT-8m-Steel,W-077,560059,
P-e4610b,12.97804,77.60373,F-01-02,D-010201,4,P-c18501,LT-8m-Steel,W-024,560078,KSPDB-D-010201-P-e4610b
P-1a7148,12.97772,77.603546,F-01-02,D-010201,5,P-e4610b,LT-9m-Steel,W-118,560032,KSPDB-D-010201-P-1a7148
P-21cbf4,12.977383,77.603305,F-01-02,D-010201,6,P-1a7148,LT-9m-Steel,W-022,560027,KSPDB-D-010201-P-21cbf4
P-baaaed,12.977112,77.603136,F-01-02,D-010201,7,P-21cbf4,LT-9m-PCC,W-041,560089,
P-b33d2f,12.97689,77.60302,F-01-02,D-010201,8,P-baaaed,LT-9m-PCC,W-111,560011,
P-17d873,12.97665,77.602841,F-01-02,D-010201,9,P-b33d2f,LT-8m-Steel,W-018,560059,KSPDB-D-010201-P-17d873
P-59929f,12.976451,77.602641,F-01-02,D-010201,10,P-17d873,LT-9m-Steel,W-065,560062,KSPDB-D-010201-P-59929f
P-7fcaa0,12.976224,77.602523,F-01-02,D-010201,11,P-59929f,LT-9m-Steel,W-063,560066,KSPDB-D-010201-P-7fcaa0
P-917497,12.975935,77.602353,F-01-02,D-010201,12,P-7fcaa0,LT-8m-Steel,W-022,560013,KSPDB-D-010201-P-917497
P-13bbf8,12.977046,77.603155,F-01-02,D-010201,13,P-21cbf4,LT-9m-PCC,W-038,560038,KSPDB-D-010201-P-13bbf8
P-bcca93,12.976741,77.602976,F-01-02,D-010201,14,P-13bbf8,LT-9m-Steel,W-037,560068,KSPDB-D-010201-P-bcca93
P-1b990a,12.976401,77.602822,F-01-02,D-010201,15,P-bcca93,LT-9m-Steel,W-096,560073,KSPDB-D-010201-P-1b990a
P-c96a35,12.976066,77.602572,F-01-02,D-010201,16,P-1b990a,LT-9m-Steel,W-066,560024,KSPDB-D-010201-P-c96a35
P-c7f5f3,12.975773,77.602364,F-01-02,D-010201,17,P-c96a35,LT-8m-Steel,W-100,560056,KSPDB-D-010201-P-c7f5f3
P-a27577,12.97609,77.602613,F-01-02,D-010201,18,P-c7f5f3,LT-9m-Steel,W-106,560066,KSPDB-D-010201-P-a27577
P-148805,12.976339,77.602794,F-01-02,D-010201,19,P-a27577,LT-9m-Steel,W-028,560023,
P-267b7f,12.976576,77.603031,F-01-02,D-010201,20,P-148805,LT-9m-Steel,W-107,560041,KSPDB-D-010201-P-267b7f
P-a18034,12.976896,77.603228,F-01-02,D-010201,21,P-267b7f,LT-8m-Steel,W-112,560067,KSPDB-D-010201-P-a18034
P-4b7738,12.975487,77.602127,F-01-02,D-010201,22,P-c7f5f3,LT-8m-Steel,W-045,560021,KSPDB-D-010201-P-4b7738
P-88d728,12.975226,77.601976,F-01-02,D-010201,23,P-4b7738,LT-8m-Steel,W-111,560040,KSPDB-D-010201-P-88d728
P-f1c0f9,12.974968,77.601725,F-01-02,D-010201,24,P-88d728,LT-9m-PCC,W-104,560098,KSPDB-D-010201-P-f1c0f9
P-4b2d1d,12.974651,77.60157,F-01-02,D-010201,25,P-f1c0f9,LT-8m-Steel,W-111,560090,KSPDB-D-010201-P-4b2d1d
P-6a006b,12.974391,77.601402,F-01-02,D-010201,26,P-4b2d1d,LT-8m-Steel,W-022,560036,KSPDB-D-010201-P-6a006b
P-642c5b,12.987267,77.608104,F-01-02,D-010202,,,LT-9m-PCC,W-104,560054,
P-f16623,12.987073,77.608386,F-01-02,D-010202,,,LT-9m-Steel,W-036,560031,
P-b57e03,12.986818,77.608708,F-01-02,D-010202,,,LT-8m-Steel,W-091,560083,KSPDB-D-010202-P-b57e03
P-4dbf97,12.986608,77.609019,F-01-02,D-010202,,,LT-8m-Steel,W-110,560096,KSPDB-D-010202-P-4dbf97
P-f88484,12.98638,77.609263,F-01-02,D-010202,,,LT-9m-PCC,W-018,560062,KSPDB-D-010202-P-f88484
P-f7c26e,12.986145,77.609564,F-01-02,D-010202,,,LT-9m-PCC,W-036,560026,KSPDB-D-010202-P-f7c26e
P-b23ac0,12.985886,77.609867,F-01-02,D-010202,,,LT-9m-Steel,W-111,560028,KSPDB-D-010202-P-b23ac0
P-3693d2,12.985706,77.610153,F-01-02,D-010202,,,LT-9m-Steel,W-042,560096,KSPDB-D-010202-P-3693d2
P-409d68,12.985455,77.610488,F-01-02,D-010202,,,LT-8m-Steel,W-063,560090,KSPDB-D-010202-P-409d68
P-3b9e5d,12.985197,77.610774,F-01-02,D-010202,,,LT-8m-Steel,W-081,560067,KSPDB-D-010202-P-3b9e5d
P-0994c0,12.985019,77.611087,F-01-02,D-010202,,,LT-9m-PCC,W-082,560021,KSPDB-D-010202-P-0994c0
P-546b52,12.984834,77.611348,F-01-02,D-010202,,,LT-8m-Steel,W-066,560098,KSPDB-D-010202-P-546b52
P-d2b3ad,12.98467,77.611685,F-01-02,D-010202,,,LT-8m-Steel,W-059,560051,KSPDB-D-010202-P-d2b3ad
P-74f938,12.984477,77.611939,F-01-02,D-010202,,,LT-9m-Steel,W-001,560021,KSPDB-D-010202-P-74f938
P-b4dc26,12.984268,77.612249,F-01-02,D-010202,,,LT-9m-Steel,W-059,560099,KSPDB-D-010202-P-b4dc26
P-ebd510,12.984078,77.612548,F-01-02,D-010202,,,LT-8m-Steel,W-109,560078,KSPDB-D-010202-P-ebd510
P-9a1cc6,12.983885,77.612828,F-01-02,D-010202,,,LT-8m-Steel,W-028,560037,KSPDB-D-010202-P-9a1cc6
P-9faa2c,12.983641,77.613128,F-01-02,D-010202,,,LT-8m-Steel,W-035,560046,KSPDB-D-010202-P-9faa2c
P-996470,12.983465,77.6134,F-01-02,D-010202,,,LT-8m-Steel,W-071,560082,KSPDB-D-010202-P-996470
P-e36fd8,12.983285,77.613705,F-01-02,D-010202,,,LT-8m-Steel,W-101,560097,KSPDB-D-010202-P-e36fd8
P-5a1756,12.983069,77.614016,F-01-02,D-010202,,,LT-9m-PCC,W-006,560068,KSPDB-D-010202-P-5a1756
P-967ef6,12.982889,77.614357,F-01-02,D-010202,,,LT-9m-PCC,W-016,560030,KSPDB-D-010202-P-967ef6
P-629a9e,12.982696,77.614627,F-01-02,D-010202,,,LT-8m-Steel,W-059,,KSPDB-D-010202-P-629a9e
P-d92e6c,12.982498,77.614878,F-01-02,D-010202,,,LT-8m-Steel,W-026,560026,
P-ed9ac9,12.98226,77.615151,F-01-02,D-010202,,,LT-9m-Steel,W-039,560045,
P-eabe1c,12.982012,77.615396,F-01-02,D-010202,,,LT-9m-PCC,W-084,560020,KSPDB-D-010202-P-eabe1c
P-949692,12.978405,77.609134,F-01-02,D-010203,1,,LT-8m-Steel,W-086,560031,KSPDB-D-010203-P-949692
P-81b079,12.978595,77.609093,F-01-02,D-010203,2,P-949692,LT-9m-PCC,W-051,560099,KSPDB-D-010203-P-81b079
P-d8795f,12.978719,77.609044,F-01-02,D-010203,3,P-81b079,LT-9m-PCC,W-055,560022,KSPDB-D-010203-P-d8795f
P-70bd5a,12.978868,77.608969,F-01-02,D-010203,4,P-d8795f,LT-9m-PCC,W-028,560026,
P-992ecf,12.978981,77.608849,F-01-02,D-010203,5,P-70bd5a,LT-9m-Steel,W-029,560066,KSPDB-D-010203-P-992ecf
P-9f9f7d,12.979137,77.608774,F-01-02,D-010203,6,P-992ecf,LT-9m-PCC,W-002,560025,KSPDB-D-010203-P-9f9f7d
P-2140ef,12.979317,77.608687,F-01-02,D-010203,7,P-9f9f7d,LT-8m-Steel,W-089,560019,KSPDB-D-010203-P-2140ef
P-ec88cc,12.979511,77.608598,F-01-02,D-010203,8,P-2140ef,LT-9m-PCC,W-050,560023,KSPDB-D-010203-P-ec88cc
P-bdd77e,12.979658,77.608481,F-01-02,D-010203,9,P-ec88cc,LT-9m-PCC,W-041,560048,KSPDB-D-010203-P-bdd77e
P-07a0f1,12.979805,77.608426,F-01-02,D-010203,10,P-bdd77e,LT-9m-PCC,W-049,560027,KSPDB-D-010203-P-07a0f1
P-ea7a3e,12.979935,77.608374,F-01-02,D-010203,11,P-07a0f1,LT-9m-Steel,W-087,560077,KSPDB-D-010203-P-ea7a3e
P-8790fc,12.98006,77.608286,F-01-02,D-010203,12,P-ea7a3e,LT-9m-Steel,W-002,560031,KSPDB-D-010203-P-8790fc
P-fb91f5,12.980185,77.608188,F-01-02,D-010203,13,P-8790fc,LT-8m-Steel,W-045,560090,KSPDB-D-010203-P-fb91f5
P-950762,12.980294,77.60807,F-01-02,D-010203,14,P-fb91f5,LT-9m-Steel,W-020,560088,KSPDB-D-010203-P-950762
P-43adce,12.98041,77.607959,F-01-02,D-010203,15,P-950762,LT-9m-Steel,W-057,560021,KSPDB-D-010203-P-43adce
P-35c572,12.980546,77.607874,F-01-02,D-010203,16,P-43adce,LT-9m-PCC,W-018,560085,KSPDB-D-010203-P-35c572
P-938f24,12.980515,77.608012,F-01-02,D-010203,17,P-35c572,LT-9m-Steel,W-050,560064,KSPDB-D-010203-P-938f24
P-bc0bc3,12.980478,77.608209,F-01-02,D-010203,18,P-938f24,LT-8m-Steel,W-102,560045,KSPDB-D-010203-P-bc0bc3
P-726add,12.980398,77.608445,F-01-02,D-010203,19,P-bc0bc3,LT-9m-Steel,W-011,560086,KSPDB-D-010203-P-726add
P-fedec3,12.980299,77.608622,F-01-02,D-010203,20,P-726add,LT-9m-Steel,W-093,560098,KSPDB-D-010203-P-fedec3
P-3fd200,12.980263,77.608846,F-01-02,D-010203,21,P-fedec3,LT-9m-PCC,W-109,560048,KSPDB-D-010203-P-3fd200
P-adeada,12.980702,77.607817,F-01-02,D-010203,22,P-35c572,LT-9m-PCC,W-067,560034,KSPDB-D-010203-P-adeada
P-6c1ca0,12.980897,77.607735,F-01-02,D-010203,23,P-adeada,LT-9m-Steel,W-051,560016,KSPDB-D-010203-P-6c1ca0
P-2eda49,12.981048,77.607642,F-01-02,D-010203,24,P-6c1ca0,LT-9m-PCC,W-064,560040,KSPDB-D-010203-P-2eda49
P-1475b9,12.981233,77.607584,F-01-02,D-010203,25,P-2eda49,LT-8m-Steel,W-082,560077,KSPDB-D-010203-P-1475b9
P-064dd7,12.981429,77.607554,F-01-02,D-010203,26,P-1475b9,LT-9m-PCC,W-047,560026,KSPDB-D-010203-P-064dd7
P-a44b80,12.981625,77.607482,F-01-02,D-010203,27,P-064dd7,LT-8m-Steel,W-111,560063,KSPDB-D-010203-P-a44b80
P-4f4d47,12.981734,77.607393,F-01-02,D-010203,28,P-a44b80,LT-8m-Steel,W-070,560070,KSPDB-D-010203-P-4f4d47
P-3d9325,12.981854,77.607287,F-01-02,D-010203,29,P-4f4d47,LT-9m-PCC,W-003,560011,
P-414499,12.986883,77.602375,F-01-03,D-010301,1,,LT-8m-Steel,W-028,560017,KSPDB-D-010301-P-414499
P-e70946,12.987111,77.602591,F-01-03,D-010301,2,P-414499,LT-8m-Steel,W-065,560074,KSPDB-D-010301-P-e70946
P-df479e,12.987317,77.60284,F-01-03,D-010301,3,P-e70946,LT-8m-Steel,W-055,560020,KSPDB-D-010301-P-df479e
P-553002,12.987541,77.60304,F-01-03,D-010301,4,P-df479e,LT-9m-Steel,W-069,560029,KSPDB-D-010301-P-553002
P-a1c6a3,12.987317,77.603069,F-01-03,D-010301,5,P-553002,LT-8m-Steel,W-011,560075,KSPDB-D-010301-P-a1c6a3
P-b0a04f,12.987131,77.603025,F-01-03,D-010301,6,P-a1c6a3,LT-9m-PCC,W-104,560051,
P-b81f05,12.986934,77.603017,F-01-03,D-010301,7,P-b0a04f,LT-8m-Steel,W-076,560093,KSPDB-D-010301-P-b81f05
P-52963e,12.987766,77.603296,F-01-03,D-010301,8,P-553002,LT-9m-Steel,W-083,560099,KSPDB-D-010301-P-52963e
P-b0baed,12.987907,77.603508,F-01-03,D-010301,9,P-52963e,LT-8m-Steel,W-094,560040,KSPDB-D-010301-P-b0baed
P-7144c3,12.988129,77.603748,F-01-03,D-010301,10,P-b0baed,LT-9m-PCC,W-032,560065,KSPDB-D-010301-P-7144c3
P-2b2f32,12.988292,77.604027,F-01-03,D-010301,11,P-7144c3,LT-9m-PCC,W-059,560017,
P-201fa3,12.988478,77.604294,F-01-03,D-010301,12,P-2b2f32,LT-8m-Steel,W-086,560032,
P-80df1c,12.988675,77.604506,F-01-03,D-010301,13,P-201fa3,LT-9m-PCC,W-002,560099,KSPDB-D-010301-P-80df1c
P-a296f3,12.988884,77.604769,F-01-03,D-010301,14,P-80df1c,LT-9m-PCC,W-021,560054,KSPDB-D-010301-P-a296f3
P-c767ed,12.989012,77.605005,F-01-03,D-010301,15,P-a296f3,LT-9m-Steel,W-067,560043,
P-c7b949,12.989143,77.605253,F-01-03,D-010301,16,P-c767ed,LT-9m-PCC,W-048,560044,KSPDB-D-010301-P-c7b949
P-c840bd,12.989417,77.604991,F-01-03,D-010301,17,P-c7b949,LT-9m-Steel,W-114,560013,KSPDB-D-010301-P-c840bd
P-10c9a2,12.989677,77.604737,F-01-03,D-010301,18,P-c840bd,LT-8m-Steel,W-104,560077,KSPDB-D-010301-P-10c9a2
P-8a2f58,12.989896,77.604485,F-01-03,D-010301,19,P-10c9a2,LT-9m-PCC,W-034,560083,KSPDB-D-010301-P-8a2f58
P-4f5838,12.99017,77.604185,F-01-03,D-010301,20,P-8a2f58,LT-9m-Steel,W-010,560075,KSPDB-D-010301-P-4f5838
P-1ddf6f,12.990428,77.603913,F-01-03,D-010301,21,P-4f5838,LT-8m-Steel,W-008,560082,KSPDB-D-010301-P-1ddf6f
P-3db035,12.989318,77.605478,F-01-03,D-010301,22,P-c7b949,LT-9m-PCC,W-048,560023,KSPDB-D-010301-P-3db035
P-762b56,12.98947,77.605748,F-01-03,D-010301,23,P-3db035,LT-9m-Steel,W-087,560039,KSPDB-D-010301-P-762b56
P-1b5ec3,12.989603,77.60602,F-01-03,D-010301,24,P-762b56,LT-9m-Steel,W-066,,KSPDB-D-010301-P-1b5ec3
P-3f28d3,12.989775,77.606264,F-01-03,D-010301,25,P-1b5ec3,LT-9m-PCC,W-032,560056,KSPDB-D-010301-P-3f28d3
P-7a1bc8,12.989902,77.606533,F-01-03,D-010301,26,P-3f28d3,LT-8m-Steel,W-118,560014,KSPDB-D-010301-P-7a1bc8
P-d44668,12.990049,77.606797,F-01-03,D-010301,27,P-7a1bc8,LT-9m-Steel,W-103,560093,KSPDB-D-010301-P-d44668
P-3f9970,12.990265,77.60705,F-01-03,D-010301,28,P-d44668,LT-8m-Steel,W-029,560063,KSPDB-D-010301-P-3f9970
P-a0372b,12.99039,77.60733,F-01-03,D-010301,29,P-3f9970,LT-9m-Steel,W-041,560019,
P-86123d,12.990402,77.607526,F-01-03,D-010301,30,P-a0372b,LT-9m-Steel,W-048,560096,KSPDB-D-010301-P-86123d
P-22c6b9,12.990393,77.607737,F-01-03,D-010301,31,P-86123d,LT-9m-PCC,W-023,560076,KSPDB-D-010301-P-22c6b9
P-d00b33,12.990342,77.607889,F-01-03,D-010301,32,P-22c6b9,LT-9m-PCC,W-052,560069,KSPDB-D-010301-P-d00b33
P-cd484e,12.990354,77.608049,F-01-03,D-010301,33,P-d00b33,LT-8m-Steel,W-100,560051,KSPDB-D-010301-P-cd484e
P-00de0b,12.990355,77.608227,F-01-03,D-010301,34,P-cd484e,LT-9m-PCC,W-071,560057,KSPDB-D-010301-P-00de0b
P-95de7c,12.99057,77.607554,F-01-03,D-010301,35,P-a0372b,LT-9m-PCC,W-038,560048,KSPDB-D-010301-P-95de7c
P-9a3217,12.990728,77.607808,F-01-03,D-010301,36,P-95de7c,LT-9m-Steel,W-080,560057,KSPDB-D-010301-P-9a3217
P-b6f5df,12.990878,77.608,F-01-03,D-010301,37,P-9a3217,LT-9m-Steel,W-064,560035,KSPDB-D-010301-P-b6f5df
P-1a1f36,12.991015,77.608236,F-01-03,D-010301,38,P-b6f5df,LT-9m-Steel,W-116,560041,KSPDB-D-010301-P-1a1f36
P-c8dab0,12.991158,77.608439,F-01-03,D-010301,39,P-1a1f36,LT-9m-PCC,W-001,560013,KSPDB-D-010301-P-c8dab0
P-cd225d,12.991358,77.608721,F-01-03,D-010301,40,P-c8dab0,LT-9m-PCC,W-070,560098,KSPDB-D-010301-P-cd225d
P-67bc1a,12.991512,77.608912,F-01-03,D-010301,41,P-cd225d,LT-9m-PCC,W-043,,KSPDB-D-010301-P-67bc1a
